epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.765,2.39186,4.75605,2.16876,0.00069,0.0931,0.00314,0.0008,2.18599,5.06531,2.27174,0.0016,0.0016,0.0856
2,30.2352,1.80347,4.5931,1.72167,0.00144,0.19,0.01256,0.00416,1.55842,4.88437,1.78184,0.0026466,0.0026466,0.0696466
3,44.781,1.52232,4.15556,1.47354,0.00279,0.36667,0.11783,0.06701,1.34408,4.55377,1.41971,0.00302,0.00302,0.05302
4,59.2516,1.44168,3.31439,1.39552,0.00965,0.67486,0.16509,0.08691,1.33046,3.83043,1.51196,0.0027202,0.0027202,0.0357202
5,74.073,1.43906,2.93879,1.50056,0.96312,0.10257,0.23546,0.12364,1.35196,3.57267,1.564,0.0017472,0.0017472,0.0177472
